test_id,timestamp,location_name,latitude,longitude,source,data_source,ssid,bssid,signal_pct,estimated_rssi_dbm,band,channel,radio_type,rx_link_mbps,tx_link_mbps,wifi_interface,adapter_description,ping_host,latency_ms,jitter_ms,packet_loss_pct,ping_packets_received,ping_packets_sent,download_mbps,upload_mbps
71bb8722-c9df-444c-b2d2-9e19675a4b1e,2026-09-19T08:00:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,26,-61.6,5 GHz,44,802.11ax,154.6,177.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,15.57,3.92,0.0,10,10,114.1,56.99
d47cf3d5-c694-44bb-9b9f-c6462025d7c1,2026-09-19T08:30:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,69,-57.0,5 GHz,144,802.11ax,133.6,328.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,30.09,6.83,1.6,10,10,72.74,28.98
058614d1-469f-459b-8ad7-6d8813ab108d,2026-09-19T09:00:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,92,-57.6,5 GHz,1,802.11ax,481.7,77.5,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.84,25.25,0.0,10,10,55.81,59.79
866c13fb-e5b5-412e-a7b1-505523247220,2026-09-19T09:30:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,60,-80.1,5 GHz,48,802.11ax,292.7,293.1,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.99,17.97,0.9,10,10,111.09,78.58
c974aa82-01ac-4dcd-8d83-b0da5c0798df,2026-09-19T10:00:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,74,-79.0,5 GHz,6,802.11ax,430.9,407.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,24.67,27.95,0.0,10,10,67.29,22.39
4f0b74bf-d771-4a79-ac55-fe895814cb9c,2026-09-19T10:30:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,93,-53.0,2.4 GHz,11,802.11ax,160.2,475.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,16.83,13.37,4.0,10,10,15.82,85.76
d9ed9acc-5df2-48ca-a441-790b3c1a42c7,2026-09-19T11:00:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,50,-75.6,5 GHz,44,802.11ax,114.3,430.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,13.14,14.4,4.2,10,10,47.71,80.77
9cec3ca6-cb87-4914-ad6c-162f19ce2c6b,2026-09-19T11:30:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,78,-56.9,5 GHz,44,802.11ax,551.7,91.8,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.5,10.76,0.8,10,10,102.85,56.65
8157453f-46a7-47d3-b562-b24d36cfd7f2,2026-09-19T12:00:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,32,-73.2,5 GHz,36,802.11ax,371.6,170.8,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,12.67,12.05,0.0,10,10,96.59,68.86
9e7ddf89-f33f-41ac-b234-78bd6b493f75,2026-09-19T12:30:00,Torgersen Hall,37.228073,-80.421661,synthetic,synthetic,eduroam,,68,-73.2,2.4 GHz,44,802.11ax,68.5,354.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,11.81,9.66,1.8,10,10,45.7,61.1
add96bf1-3727-4ba2-9dbb-4fe13235668b,2026-09-19T08:00:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,71,-76.1,2.4 GHz,36,802.11ax,346.7,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,14.66,1.0,2.7,10,10,28.12,28.63
86936a54-1f6b-4b72-8ae7-b2026c2d8635,2026-09-19T08:30:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,79,-66.6,5 GHz,44,802.11ax,185.7,120.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,10.55,9.6,0.0,10,10,72.59,44.38
56a27647-d0b0-4adb-afcc-63a67989c6c8,2026-09-19T09:00:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,35,-61.5,5 GHz,1,802.11ax,333.2,29.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,22.71,4.37,4.4,10,10,69.03,48.27
c4f2bcb1-26fc-49e2-ba6f-15f88beba442,2026-09-19T09:30:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,44,-72.4,5 GHz,40,802.11ax,342.8,29.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,18.87,3.2,3.3,10,10,48.61,54.58
564140f0-4651-427b-9693-603953f8e6cb,2026-09-19T10:00:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,79,-56.5,5 GHz,36,802.11ax,63.6,258.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,18.86,12.79,7.2,10,10,81.08,97.58
2f768ad3-9550-4c84-9014-99c957ca507e,2026-09-19T10:30:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,61,-64.1,5 GHz,1,802.11ax,199.0,393.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.77,1.15,0.5,10,10,15.82,32.49
1b62139a-0b90-4221-acf7-471575c3b6d8,2026-09-19T11:00:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,65,-77.1,5 GHz,1,802.11ax,220.7,340.1,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,25.06,1.0,4.2,10,10,74.18,33.53
cafbaae7-3472-4394-8a5d-7799c57b897e,2026-09-19T11:30:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,79,-63.0,5 GHz,48,802.11ax,198.0,29.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,24.26,3.57,7.1,10,10,95.73,59.09
60b014ff-51b7-45ea-93d2-9bf4527af5ec,2026-09-19T12:00:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,78,-66.0,2.4 GHz,40,802.11ax,298.6,244.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,24.01,1.0,5.4,10,10,42.6,27.29
67b533ed-40e9-454b-b9f9-4db46569dc91,2026-09-19T12:30:00,Newman Library,37.228406,-80.424751,synthetic,synthetic,eduroam,,54,-53.0,5 GHz,11,802.11ax,277.3,456.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.05,1.91,0.0,10,10,97.65,72.2
ff5d3eda-e2fb-4ef4-bb2f-a178bca2b962,2026-09-19T08:00:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,69,-63.8,5 GHz,6,802.11ax,430.8,356.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,10.39,11.13,4.2,10,10,101.17,42.14
5ab7d258-8e3e-4f6b-96d5-83451679f65b,2026-09-19T08:30:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,43,-68.1,5 GHz,44,802.11ax,574.0,373.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,17.31,9.07,2.5,10,10,47.79,100.2
8f4ab212-c8a5-4819-b1d0-0eaa922275a8,2026-09-19T09:00:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,50,-76.8,5 GHz,48,802.11ax,539.9,387.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,18.39,8.96,0.0,10,10,111.54,45.09
637c3200-2f06-4277-892b-3e90eac89356,2026-09-19T09:30:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,43,-80.4,5 GHz,36,802.11ax,294.2,263.3,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.21,9.76,3.2,10,10,116.1,34.19
d8ed6056-75f2-4007-8834-66669b3ff7a4,2026-09-19T10:00:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,26,-68.4,5 GHz,44,802.11ax,280.3,145.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,17.86,6.09,1.6,10,10,47.5,69.98
81eeb2fb-5777-44d5-bcda-03007f835de7,2026-09-19T10:30:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,94,-66.0,5 GHz,11,802.11ax,339.9,29.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.58,1.0,2.5,10,10,68.5,64.3
6648cab5-6c22-4781-8bd1-b165ee45a913,2026-09-19T11:00:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,60,-62.8,5 GHz,36,802.11ax,221.8,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.87,22.36,0.3,10,10,104.95,22.08
c4225c61-e1f3-4280-a4b8-57bec862d08b,2026-09-19T11:30:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,85,-66.5,5 GHz,40,802.11ax,91.1,180.9,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,11.35,5.82,0.0,10,10,128.88,21.11
04063431-af01-4c29-9d48-8a8f356e1b4c,2026-09-19T12:00:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,57,-68.9,5 GHz,1,802.11ax,96.0,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.76,4.69,0.0,10,10,116.97,54.59
b4a89c86-855b-4ed9-b513-ed43d59d4708,2026-09-19T12:30:00,Squires Student Center,37.227612,-80.424927,synthetic,synthetic,eduroam,,94,-80.5,5 GHz,1,802.11ax,198.1,376.3,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,27.37,10.79,1.2,10,10,124.69,71.97
a482ab85-1571-4206-9e88-b1f07a1e647a,2026-09-19T08:00:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,57,-53.0,5 GHz,44,802.11ax,89.2,409.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.18,20.23,0.0,10,10,64.17,63.26
680d812f-3af8-4fb1-a35f-7135ab2a2702,2026-09-19T08:30:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,94,-63.8,2.4 GHz,1,802.11ax,502.7,388.6,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,24.57,1.0,0.0,10,10,92.76,86.83
5d29ed0d-7a71-4120-9422-da8374aecd63,2026-09-19T09:00:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,74,-64.5,5 GHz,40,802.11ax,115.4,29.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,16.62,13.87,5.3,10,10,76.21,96.93
2a69fe25-b743-43ad-9c18-7a7f9349b991,2026-09-19T09:30:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,43,-81.6,5 GHz,40,802.11ax,275.2,56.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.9,11.22,0.0,10,10,89.3,7.27
b4914527-8dd6-478f-96c8-835d58388a83,2026-09-19T10:00:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,94,-75.7,5 GHz,11,802.11ax,362.4,161.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,22.87,6.5,2.1,10,10,74.33,24.2
99e4a359-e711-4378-a972-1c8589d2d12f,2026-09-19T10:30:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,79,-69.9,5 GHz,1,802.11ax,431.1,72.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,17.01,8.76,0.0,10,10,70.6,58.39
34071433-21b4-4c12-af3f-344a55212207,2026-09-19T11:00:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,80,-53.2,5 GHz,36,802.11ax,403.6,211.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,14.32,12.8,0.0,10,10,34.74,100.2
368ef072-3e3a-4357-9d5a-5cf1df747c33,2026-09-19T11:30:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,64,-71.1,5 GHz,11,802.11ax,34.0,386.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,14.08,11.97,2.6,10,10,36.59,17.07
87cd2ddc-62cd-4980-9189-e35622408746,2026-09-19T12:00:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,75,-69.7,5 GHz,6,802.11ax,132.7,205.6,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,14.14,5.61,1.3,10,10,102.85,83.0
26400154-5486-42d8-919f-7c167982c1a9,2026-09-19T12:30:00,Goodwin Hall,37.225635,-80.424455,synthetic,synthetic,eduroam,,82,-73.5,5 GHz,40,802.11ax,282.6,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,24.81,1.0,3.9,10,10,96.51,50.34
f8db2601-556b-49c2-8520-0ea10db8a1fb,2026-09-19T08:00:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,42,-59.1,5 GHz,1,802.11ax,84.9,414.1,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,14.74,4.55,0.0,10,10,46.33,58.55
cea825a4-3145-4569-9e4d-66dd91ad22d3,2026-09-19T08:30:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,53,-62.3,5 GHz,40,802.11ax,275.9,454.3,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,18.67,22.2,0.4,10,10,91.89,77.57
bc90f18f-84d9-4795-8732-76449e1f9944,2026-09-19T09:00:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,36,-53.0,2.4 GHz,144,802.11ax,203.1,146.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,19.33,1.0,0.0,10,10,64.08,20.34
46a0c875-4bc2-4298-9f30-d257fa8b3b61,2026-09-19T09:30:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,85,-76.1,5 GHz,44,802.11ax,320.9,292.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,15.94,3.67,3.0,10,10,109.09,76.11
4e3822e0-6aa5-48c8-8a15-cf42d7ceaf7c,2026-09-19T10:00:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,56,-53.0,5 GHz,36,802.11ax,347.0,428.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.32,7.2,2.7,10,10,67.82,71.44
982c2442-7958-4156-ab9b-eb98ed1d2d2c,2026-09-19T10:30:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,79,-57.5,2.4 GHz,144,802.11ax,373.4,410.8,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.05,1.0,1.8,10,10,65.24,80.39
56081a97-5a6f-494d-b107-92b2bd328591,2026-09-19T11:00:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,65,-53.0,5 GHz,44,802.11ax,383.3,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,27.8,1.0,0.0,10,10,22.46,39.22
5824385f-f2c1-4fcc-a8d4-7ca091fb197c,2026-09-19T11:30:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,71,-62.6,5 GHz,44,802.11ax,66.2,64.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.59,10.94,0.0,10,10,94.0,100.2
3841e749-73e5-44a3-bbd1-1e6d9d2e3538,2026-09-19T12:00:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,73,-62.5,5 GHz,36,802.11ax,420.4,441.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,16.21,5.03,0.5,10,10,132.48,47.5
51cb6204-0c26-4db9-aa87-af7e9ae3b615,2026-09-19T12:30:00,Drillfield,37.2285,-80.4235,synthetic,synthetic,eduroam,,75,-86.8,5 GHz,48,802.11ax,378.7,538.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,15.76,5.02,0.0,10,10,104.55,81.02
cf8f45bd-753a-4e15-ade2-9fcfb1fc3e32,2026-09-19T08:00:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,94,-55.1,5 GHz,144,802.11ax,116.2,201.1,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,9.9,3.64,3.0,10,10,80.62,78.45
d8175a17-fc85-479b-aab2-4f9c9b48dcc1,2026-09-19T08:30:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,51,-73.5,2.4 GHz,144,802.11ax,312.0,354.8,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.13,10.25,0.0,10,10,31.12,100.2
1ea34e84-cef5-475c-a491-fa3a4ad21d2e,2026-09-19T09:00:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,73,-64.0,2.4 GHz,6,802.11ax,236.4,237.1,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,15.97,5.0,0.0,10,10,104.17,31.75
91397a46-29e3-42af-a0e2-432b6d9ac89c,2026-09-19T09:30:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,55,-80.4,5 GHz,48,802.11ax,483.5,399.1,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,24.45,6.7,0.0,10,10,24.3,1.25
2170a51c-81f5-45b0-a85d-c65b2044ea13,2026-09-19T10:00:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,73,-57.4,5 GHz,44,802.11ax,349.8,55.6,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,23.07,2.92,0.0,10,10,50.9,59.27
3fae0926-43a4-4fce-ba4d-08743e2e73f5,2026-09-19T10:30:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,41,-65.3,5 GHz,1,802.11ax,343.8,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,18.24,8.43,0.6,10,10,80.16,53.86
512c78a1-8b60-41cc-8d45-2a95c8b965c0,2026-09-19T11:00:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,58,-70.3,5 GHz,11,802.11ax,49.2,437.8,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,19.11,22.37,0.0,10,10,135.19,96.03
b295da34-6df4-4dbe-9139-adb3fce740e3,2026-09-19T11:30:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,69,-67.9,5 GHz,44,802.11ax,181.6,76.5,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,14.12,1.0,6.0,10,10,103.65,88.26
d41f6f2c-5330-4d3a-a8b9-b1c69e9de15e,2026-09-19T12:00:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,84,-76.0,5 GHz,1,802.11ax,398.1,29.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,18.66,15.88,3.3,10,10,93.71,57.69
42f08d82-7315-45f2-addb-c9b9c9a7b77a,2026-09-19T12:30:00,Lane Stadium,37.224212,-80.418531,synthetic,synthetic,eduroam,,71,-81.5,5 GHz,6,802.11ax,155.5,435.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.25,18.89,3.6,10,10,81.09,75.54
6850d91d-ca1c-4bc3-9835-745ce4c31837,2026-09-19T08:00:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,89,-69.9,5 GHz,6,802.11ax,390.1,75.6,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,24.1,1.0,0.0,10,10,56.49,80.98
e01450bd-c93e-4b54-be43-fc617154185d,2026-09-19T08:30:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,69,-68.2,5 GHz,44,802.11ax,473.7,574.0,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.26,3.51,0.0,10,10,32.81,59.82
0782ae3f-1d21-45cf-926c-cf7928fc7a94,2026-09-19T09:00:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,38,-59.6,5 GHz,44,802.11ax,539.5,314.1,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,13.52,1.29,0.0,10,10,100.75,54.97
467fb973-ced3-4218-b1ca-8cacf7002d26,2026-09-19T09:30:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,94,-53.4,5 GHz,40,802.11ax,319.4,406.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,14.37,9.76,0.0,10,10,54.37,23.2
b1831082-87b3-4b64-a664-9c228ac6c53f,2026-09-19T10:00:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,52,-78.1,5 GHz,6,802.11ax,359.6,340.5,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,20.51,7.41,0.5,10,10,38.21,64.6
f6512b00-feec-4edb-8f9a-3f016c26c1ae,2026-09-19T10:30:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,36,-62.2,2.4 GHz,40,802.11ax,243.3,235.4,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,29.28,1.0,0.0,10,10,126.56,40.26
daa3f473-0e6d-46cc-9f96-592c439faf2d,2026-09-19T11:00:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,51,-53.0,5 GHz,40,802.11ax,372.6,484.3,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.02,1.0,0.0,10,10,65.97,55.56
ede76eca-8c20-4c19-bfe8-aae9b464b05b,2026-09-19T11:30:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,82,-63.2,2.4 GHz,11,802.11ax,93.9,537.7,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,21.35,14.8,4.8,10,10,117.0,82.36
c341bc50-e972-4671-a893-563ffdcd246a,2026-09-19T12:00:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,72,-68.7,5 GHz,6,802.11ax,34.0,269.8,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,19.71,3.78,0.1,10,10,68.94,90.33
0599843a-a2f0-49ab-abe9-3ee8885b0f39,2026-09-19T12:30:00,Engineering Quad,37.231012,-80.422815,synthetic,synthetic,eduroam,,63,-53.0,5 GHz,11,802.11ax,34.0,243.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,16.43,10.04,0.0,10,10,113.85,35.64
fb248be6-e078-44be-8b4d-15ce0c552ec2,2026-09-19T08:00:00,Payne Hall,37.230531,-80.422258,synthetic,synthetic,eduroam,,66,-69.2,5 GHz,1,802.11ax,429.2,63.2,Wi-Fi,Intel(R) Wi-Fi 7 BE201 320MHz,1.1.1.1,19.27,15.2,0.9,10,10,107.79,44.81
